Name;CDS Ticker;Ask;Change;#SD;3M Low;3M High;3M Avg;+/-;3M Chg
AXA SA;CAXA1E5 CBIN Curncy;104.4588 ;0.9829 ;0.3577 ;67.2524 ;104.4588 ;84.2648 ;20.1939 ;16.1092 
Aegon NV;CAEGO1E5 CBIN Curncy;117.4585 ;0.9733 ;0.2792 ;90.4772 ;125.591 ;105.2524 ;12.2061 ;6.4135 
Air Liquide SA;CAIF1E5 CMAI Curncy;74.23 ;#N/A N/A;0.9277 ;53.59 ;81.50 ;64.0808 ;10.1492 ;(7.27)
Airbus SE;CAER1E5 CBIN Curncy;166.1771 ;1.8452 ;0.3806 ;98.8635 ;166.1771 ;127.0224 ;39.1547 ;32.1363 
Akzo Nobel NV;CAKZO1E5 CBIN Curncy;168.7922 ;1.604 ;0.2705 ;106.59 ;170.4945 ;134.3947 ;34.3975 ;(1.7023)
Allianz SE;CALZ1E5 CBIN Curncy;79.7395 ;1.3746 ;0.5222 ;53.5704 ;82.2758 ;64.3432 ;15.3963 ;8.1753 
Alstom SA;CALS1E5 CBIN Curncy;318.0923 ;(0.3409);(0.0767);195.9644 ;318.0923 ;215.933 ;102.1593 ;102.3634 
Anglo American PLC;CAALL1E5 CBIN Curncy;239.5516 ;1.6063 ;0.2493 ;175.4637 ;254.1449 ;212.1166 ;27.435 ;14.1598 
Anheuser-Busch InBev SA/NV;CY021331 CBIN Curncy;94.0985 ;0.00 ;0.4879 ;74.7777 ;114.7645 ;90.9998 ;3.0987 ;(20.666)
ArcelorMittal SA;CX375736 CBIN Curncy;338.8513 ;2.0383 ;0.229 ;250.554 ;355.7952 ;296.6592 ;42.1921 ;(4.5396)
Assicurazioni Generali SpA;CASS1E5 CBIN Curncy;145.1641 ;0.00 ;0.3261 ;119.2983 ;153.3407 ;135.8014 ;9.3627 ;5.3352 
AstraZeneca PLC;CAZN1E5 CBIN Curncy;71.3747 ;0.1626 ;0.098 ;45.8676 ;71.3747 ;55.4806 ;15.8941 ;9.4552 
Aviva PLC;CAVL1E5 CBIN Curncy;135.2702 ;4.9187 ;1.0951 ;90.5157 ;135.2702 ;107.1679 ;28.1023 ;11.1535 
BAE Systems PLC;CBAE1E5 CBIN Curncy;68.1435 ;1.0334 ;0.5519 ;49.8177 ;68.1435 ;58.2382 ;9.9052 ;0.2064 
BASF SE;CBASF1E5 CBIN Curncy;164.7443 ;4.2256 ;0.5499 ;103.9498 ;190.7901 ;143.1939 ;21.5504 ;(26.0458)
BNP Paribas SA;CY355903 CBIN Curncy;121.9379 ;0.00 ;0.604 ;92.246 ;134.3197 ;110.155 ;11.783 ;(9.2734)
BP PLC;CBPLN1E5 CBIN Curncy;137.2792 ;1.7398 ;0.4197 ;100.3355 ;148.6651 ;120.0988 ;17.1804 ;12.0182 
Banco Bilbao Vizcaya Argentaria SA;CY355855 CMAI Curncy;169.81 ;#N/A N/A;1.2239 ;119.72 ;184.70 ;149.18 ;20.63 ;0.86 
Banco Santander SA;CY362804 CBIN Curncy;154.2338 ;0.00 ;0.1596 ;111.6229 ;154.2338 ;130.5129 ;23.7209 ;12.9376 
Barclays PLC;CY349126 CBIN Curncy;150.3383 ;2.9624 ;0.7493 ;105.8824 ;150.3383 ;124.736 ;25.6023 ;7.604 
Bayer AG;CBAYR1E5 CBIN Curncy;153.2072 ;3.5222 ;0.7142 ;91.9936 ;153.2072 ;123.5739 ;29.6333 ;12.0866 
Bayerische Motoren Werke AG;CBMW1E5 CBIN Curncy;137.4029 ;2.9576 ;0.7075 ;90.9786 ;148.0539 ;112.842 ;24.5609 ;25.3812 
Bertelsmann SE & Co KGaA;CBTG1E5 CBIN Curncy;70.6813 ;2.1896 ;1.1442 ;46.8173 ;70.6813 ;56.3245 ;14.3568 ;5.2761 
Bouygues SA;CBOUY1E5 CBIN Curncy;84.1714 ;0.6217 ;0.2478 ;52.3156 ;84.7353 ;68.3335 ;15.8378 ;(0.1111)
British American Tobacco PLC;CBAT1E5 CBIN Curncy;139.8805 ;0.0783 ;0.0288 ;118.0998 ;139.8805 ;127.629 ;12.2515 ;7.5824 
British Telecommunications PLC;CBT1E5 CBIN Curncy;157.7604 ;2.6133 ;0.8355 ;120.109 ;157.7604 ;133.6483 ;24.112 ;10.248 
CNH Industrial NV;CY184970 CBIN Curncy;197.2469 ;0.00 ;2.187 ;145.8741 ;197.2469 ;165.7513 ;N.A.;N.A.
Carlsberg Breweries AS;CT354143 CBIN Curncy;68.6738 ;0.7001 ;0.407 ;47.3317 ;71.5521 ;58.7549 ;9.9189 ;(0.4244)
Carrefour SA;CCARR1E5 CBIN Curncy;140.6817 ;0.8186 ;0.2589 ;108.7715 ;148.0126 ;127.5293 ;13.1524 ;(7.3309)
Centrica PLC;CT355177 CBIN Curncy;178.4166 ;1.9692 ;0.4668 ;98.8882 ;178.4166 ;129.1909 ;49.2257 ;41.2354 
Cie de Saint-Gobain;CGOB1E5 CBIN Curncy;170.8022 ;1.0841 ;0.2587 ;103.0061 ;170.8022 ;127.6809 ;43.1213 ;42.9094 
Commerzbank AG;CY420291 CBIN Curncy;199.6268 ;0.00 ;0.9966 ;143.7327 ;199.6268 ;167.3292 ;32.2976 ;18.0405 
Compass Group PLC;CCPG1E5 CBIN Curncy;64.2288 ;0.8384 ;0.3866 ;37.0463 ;64.2288 ;49.3454 ;14.8834 ;2.0988 
Continental AG;CCONT1E5 CBIN Curncy;254.4621 ;3.9716 ;0.6417 ;165.7933 ;254.4621 ;198.7394 ;55.7226 ;53.6965 
Cooperatieve Rabobank UA;CY459633 CMAI Curncy;95.37 ;#N/A N/A;1.4567 ;65.12 ;95.37 ;77.876 ;17.494 ;7.46 
Credit Agricole SA;CY360734 CBIN Curncy;112.7957 ;0.00 ;0.6801 ;90.2275 ;128.3146 ;105.8163 ;6.9793 ;(11.3286)
Credit Suisse Group AG;CCS1E5 CBIN Curncy;224.8223 ;3.1649 ;0.598 ;177.2812 ;233.452 ;209.1306 ;15.6917 ;11.8286 
Danone SA;CBSN1E5 CBIN Curncy;78.8816 ;0.9862 ;0.4937 ;50.6178 ;78.8816 ;63.9003 ;14.9813 ;1.2009 
Danske Bank A/S;CY384685 CBIN Curncy;146.7394 ;0.00 ;(0.2103);117.1662 ;165.0547 ;141.271 ;5.4685 ;(11.6956)
Deutsche Bank AG;CY384601 CBIN Curncy;229.0922 ;0.3816 ;0.0651 ;166.9828 ;245.28 ;202.2306 ;26.8616 ;4.7223 
Deutsche Telekom AG;CDT1E5 CBIN Curncy;68.4882 ;1.1133 ;0.6682 ;48.1256 ;68.4882 ;57.1257 ;11.3625 ;1.931 
Diageo PLC;CDIAG1E5 CBIN Curncy;53.6011 ;1.6528 ;1.0128 ;36.0405 ;61.2673 ;46.9515 ;6.6496 ;(5.5947)
E.ON SE;CEON1E5 CBIN Curncy;134.8176 ;1.4731 ;0.3374 ;108.9013 ;162.9898 ;131.2995 ;3.5181 ;(8.3863)
EDP Finance BV;CT977475 CBIN Curncy;140.6425 ;0.00 ;0.3826 ;103.8387 ;142.7714 ;116.3157 ;N.A.;N.A.
Electricite de France SA;CEDF1E5 CBIN Curncy;160.4826 ;2.376 ;0.4761 ;99.3461 ;167.3522 ;129.5131 ;30.9695 ;(2.7675)
EnBW Energie Baden-Wuerttemberg AG;CT403449 CBIN Curncy;115.6329 ;2.9233 ;0.5848 ;83.9743 ;137.0036 ;103.0469 ;12.586 ;(21.3707)
Enel SpA;CENEL1E5 CBIN Curncy;165.9677 ;0.2898 ;0.0638 ;120.6781 ;166.4393 ;144.7614 ;21.2064 ;16.1922 
Engie SA;CGAZ1E5 CBIN Curncy;100.6453 ;0.4882 ;0.1477 ;80.8921 ;124.5782 ;103.2528 ;(2.6075);(16.2907)
Eni SpA;CENI1E5 CBIN Curncy;138.3824 ;1.2162 ;0.2927 ;105.8592 ;146.7033 ;122.4363 ;15.9462 ;12.0588 
Equinor ASA;CSTOI1E5 CBIN Curncy;58.0625 ;1.3813 ;0.7223 ;39.0939 ;60.163 ;49.2107 ;8.8517 ;(0.6414)
Fortum Oyj;CBIRK1E5 CBIN Curncy;170.7187 ;(0.0149);(0.0009);170.7187 ;361.548 ;282.0617 ;(111.343);(190.8293)
GSK PLC (EUR);CGSK1E5 CBIN Curncy;70.2301 ;0.00 ;1.4448 ;39.0933 ;70.23 ;50.6224 ;19.6076 ;20.8307 
Glencore International AG (EUR);CGLE1E5 CBIN Curncy;241.923 ;2.8625 ;0.4291 ;190.5583 ;273.3105 ;223.6785 ;18.2445 ;(5.6221)
HOCHTIEF AG;CY188990 CBIN Curncy;303.4048 ;(0.1809);(0.0274);237.465 ;311.7078 ;267.0378 ;36.3669 ;(5.6343)
HSBC Holdings PLC;CT786869 CBIN Curncy;117.453 ;1.2989 ;0.485 ;87.2756 ;117.453 ;96.1892 ;N.A.;N.A.
Hannover Rueck SE;CHAN1E5 CBIN Curncy;89.5581 ;0.6868 ;0.2001 ;64.9646 ;96.7745 ;78.3447 ;11.2133 ;8.165 
HeidelbergCement AG;CHEI1E5 CBIN Curncy;239.5905 ;2.5763 ;0.4354 ;171.8206 ;239.5905 ;202.0443 ;37.5462 ;16.2878 
Heineken NV;CT355784 CBIN Curncy;55.2885 ;1.1092 ;0.6152 ;36.5559 ;60.0889 ;46.9184 ;8.3701 ;(1.9864)
Henkel AG & Co KGaA;CHENK1E5 CBIN Curncy;72.5837 ;0.675 ;0.347 ;56.6608 ;77.3287 ;66.3909 ;6.1928 ;(2.6988)
Holcim AG;CHOL1E5 CBIN Curncy;200.1629 ;1.1545 ;0.2485 ;143.3708 ;200.1629 ;164.335 ;35.828 ;23.6226 
ING Groep NV;CINT1E5 CBIN Curncy;102.1008 ;0.00 ;0.5461 ;78.872 ;106.4396 ;89.2303 ;12.8705 ;0.9611 
ITV PLC;CX353646 CBIN Curncy;295.555 ;2.3948 ;0.3364 ;192.5079 ;299.8466 ;244.9218 ;50.6332 ;(3.5031)
Iberdrola SA;CIBER1E5 CBIN Curncy;84.7583 ;1.0767 ;0.4134 ;68.2487 ;100.9965 ;84.0836 ;0.6746 ;(6.7762)
Imperial Brands PLC;CITOB1E5 CBIN Curncy;142.0439 ;0.1824 ;0.0534 ;118.9077 ;142.0439 ;130.7719 ;11.272 ;8.9804 
Intesa Sanpaolo SpA;CY469475 CBIN Curncy;231.1685 ;0.00 ;0.6547 ;178.042 ;231.1685 ;202.3554 ;N.A.;N.A.
Kering SA;CPRTP1E5 CBIN Curncy;61.796 ;0.3358 ;0.1695 ;44.5594 ;76.1351 ;56.7778 ;5.0182 ;(10.7895)
Koninklijke Ahold Delhaize NV;CAHLD1E5 CBIN Curncy;76.584 ;1.1004 ;0.4633 ;50.175 ;80.4417 ;67.437 ;9.147 ;(1.6786)
Koninklijke DSM NV;CDSM1E5 CBIN Curncy;65.2348 ;0.00 ;0.2866 ;52.1641 ;69.2633 ;58.128 ;7.1068 ;(1.8438)
Koninklijke KPN NV;CKPN1E5 CBIN Curncy;103.7628 ;1.4979 ;0.6684 ;78.3482 ;107.931 ;91.0515 ;12.7112 ;(4.1682)
Koninklijke Philips NV;CPHG1E5 CBIN Curncy;124.612 ;1.5675 ;0.6866 ;83.7143 ;124.612 ;94.6448 ;29.9672 ;23.2958 
LANXESS AG;CX403486 CBIN Curncy;311.6863 ;3.0523 ;0.3676 ;169.072 ;311.6863 ;254.2727 ;57.4136 ;60.9163 
LVMH Moet Hennessy Louis Vuitton SE;CMOET1E5 CBIN Curncy;56.9003 ;0.4189 ;0.2127 ;35.3686 ;65.6675 ;48.094 ;8.8062 ;(1.3417)
Lloyds Banking Group PLC;CT706822 CBIN Curncy;121.3771 ;0.00 ;1.1935 ;81.5519 ;121.3771 ;91.8912 ;N.A.;N.A.
Louis Dreyfus Co BV;CY189038 CBIN Curncy;235.6884 ;(0.342);(0.0685);210.7025 ;301.2574 ;240.977 ;(5.2886);(65.569)
Mediobanca Banca di Credito Finanziario SpA;CY469555 CMAI Curncy;250.48 ;#N/A N/A;0.8669 ;181.60 ;250.48 ;217.0032 ;33.4768 ;12.89 
Mercedes-Benz Group AG;CDCX1E5 CBIN Curncy;147.4764 ;3.5738 ;0.7901 ;99.5213 ;159.3439 ;121.4435 ;26.0329 ;26.4618 
Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen;CMURE1E5 CBIN Curncy;90.4436 ;0.9891 ;0.278 ;55.0127 ;92.86 ;73.2985 ;17.1451 ;12.27 
NatWest Group PLC;CT413383 CMAI Curncy;146.37 ;#N/A N/A;2.3835 ;85.09 ;146.37 ;111.4954 ;34.8746 ;15.04 
National Grid PLC;CNGG1E5 CBIN Curncy;124.4061 ;2.5136 ;0.6782 ;89.0801 ;124.8809 ;104.476 ;19.9301 ;20.3186 
Naturgy Energy Group SA;CGAS1E5 CBIN Curncy;128.9273 ;0.3872 ;0.1063 ;94.7625 ;134.8435 ;112.8303 ;16.097 ;3.3835 
Nestle SA (EUR);CNESN1E5 CBIN Curncy;51.2221 ;0.8294 ;0.5314 ;31.5197 ;51.2221 ;40.0846 ;11.1375 ;2.6606 
Next PLC;CT356302 CBIN Curncy;286.857 ;4.204 ;0.6646 ;192.9536 ;286.857 ;233.7414 ;53.1156 ;24.8377 
Orange SA;CFTEL1E5 CBIN Curncy;71.3318 ;2.4147 ;1.4208 ;47.8515 ;71.3318 ;57.1517 ;14.1801 ;5.8805 
Pearson PLC;CPSON1E5 CBIN Curncy;111.0992 ;1.4016 ;0.472 ;85.9896 ;141.8793 ;113.7945 ;(2.6953);(30.6035)
Pernod Ricard SA;CPER1E5 CBIN Curncy;54.4591 ;0.3101 ;0.1768 ;37.1018 ;63.9082 ;48.8727 ;5.5863 ;(6.9673)
PostNL NV;CTPG1E5 CMAI Curncy;115.82 ;#N/A N/A;(0.3026);91.36 ;115.82 ;101.1848 ;14.6352 ;12.11 
Prudential PLC (EUR);CPRU1E5 CBIN Curncy;114.1135 ;0.00 ;0.2306 ;84.5347 ;114.1135 ;97.0486 ;17.0649 ;6.3188 
Publicis Groupe SA;CPUB1E5 CBIN Curncy;138.1225 ;1.1674 ;0.3503 ;111.0255 ;157.6647 ;132.9359 ;5.1866 ;(17.9813)
Repsol SA;CREP1E5 CBIN Curncy;118.656 ;1.138 ;0.2882 ;93.5758 ;141.2666 ;114.734 ;3.9221 ;0.8718 
SES SA;CT357402 CBIN Curncy;216.3166 ;1.8982 ;0.2539 ;114.6745 ;216.3166 ;154.3601 ;61.9566 ;82.2247 
SSE PLC;CT373240 CBIN Curncy;109.13 ;2.5465 ;0.7859 ;64.7307 ;109.13 ;83.119 ;26.011 ;11.2603 
STMicroelectronics NV (EUR);CSTM1E5 CBIN Curncy;74.8003 ;0.9443 ;0.4631 ;51.6862 ;74.8003 ;57.8507 ;16.9496 ;11.9555 
Sanofi;CAVE1E5 CBIN Curncy;62.9844 ;0.7174 ;0.3329 ;37.126 ;62.9844 ;49.626 ;13.3583 ;10.2737 
Shell PLC;CT365980 CBIN Curncy;75.842 ;0.6017 ;0.2739 ;58.7601 ;82.26 ;70.8138 ;5.0282 ;(1.7219)
Siemens AG;CSIEM1E5 CBIN Curncy;99.9805 ;1.6029 ;0.631 ;65.8338 ;99.9805 ;74.521 ;25.4594 ;24.0934 
Sky Ltd;CBSY1E5 CBIN Curncy;30.5149 ;0.1271 ;0.1007 ;19.5189 ;30.6217 ;23.9322 ;6.5828 ;(0.1068)
Smurfit Kappa Acquisitions ULC;CY101284 CMAI Curncy;177.10 ;#N/A N/A;1.6115 ;133.78 ;177.10 ;147.4137 ;29.6863 ;23.07 
Societe Generale SA;CY362084 CMAI Curncy;152.40 ;#N/A N/A;1.3491 ;107.17 ;156.23 ;132.1875 ;20.2124 ;2.96 
Sodexo SA;CEXH1E5 CBIN Curncy;59.5021 ;0.7207 ;0.5279 ;47.9427 ;73.5311 ;58.3443 ;1.1578 ;(13.8542)
Solvay SA;CSOLV1E5 CBIN Curncy;165.7446 ;1.1388 ;0.1824 ;120.5111 ;188.024 ;147.3779 ;18.3667 ;(22.2794)
Standard Chartered PLC;CSTC1E5 CBIN Curncy;119.8108 ;0.00 ;0.5325 ;90.5484 ;119.8108 ;101.8575 ;17.9534 ;7.9716 
Stellantis NV (EUR);CFIAT1E5 CBIN Curncy;272.374 ;2.0706 ;0.3351 ;210.4242 ;272.374 ;232.7738 ;39.6002 ;27.895 
Stora Enso Oyj;CSTOR1E5 CMAI Curncy;161.89 ;#N/A N/A;1.2759 ;120.00 ;161.89 ;134.3345 ;27.5555 ;9.80 
Suedzucker AG;CT716410 CBIN Curncy;132.6881 ;0.1473 ;0.0578 ;104.5155 ;143.1705 ;119.884 ;12.8042 ;(5.6267)
Swiss Reinsurance Co Ltd;CRUK1E5 CBIN Curncy;104.6205 ;0.00 ;0.7576 ;69.1156 ;104.6205 ;83.3191 ;21.3015 ;19.3459 
Telefonica SA;CTLFO1E5 CBIN Curncy;133.0422 ;1.9979 ;0.8979 ;102.1055 ;133.0422 ;109.935 ;23.1072 ;18.4447 
Telekom Austria AG;CTKA1E5 CBIN Curncy;59.0658 ;0.1754 ;0.0998 ;38.4663 ;59.0658 ;46.4939 ;12.5719 ;3.1013 
Telenor ASA;CTELN1E5 CBIN Curncy;60.8365 ;0.8611 ;0.5643 ;34.0328 ;60.8365 ;43.2031 ;17.6334 ;10.249 
Telia Co AB;CTLIA1E5 CBIN Curncy;60.6453 ;0.9947 ;0.719 ;35.0241 ;60.6453 ;41.7431 ;18.9022 ;14.2876 
Tesco PLC;CTSCO1E5 CBIN Curncy;163.7581 ;1.7616 ;0.4743 ;105.3055 ;163.7581 ;131.8699 ;31.8882 ;10.4229 
TotalEnergies SE;CTELF1E5 CBIN Curncy;70.6775 ;1.0744 ;0.4998 ;49.4149 ;76.4678 ;62.9101 ;7.7673 ;(3.8292)
UBS Group AG;CY350672 CMAI Curncy;124.95 ;#N/A N/A;1.9195 ;79.99 ;124.95 ;94.5135 ;30.4365 ;17.53 
UniCredit SpA;CY469635 CMAI Curncy;265.04 ;#N/A N/A;1.1692 ;195.30 ;266.91 ;235.6189 ;29.4211 ;0.67 
Unibail-Rodamco-Westfield SE;CUNB1E5 CBIN Curncy;358.209 ;1.4773 ;0.1415 ;257.9307 ;397.0376 ;308.9623 ;49.2467 ;(32.1965)
Unilever Finance Netherlands BV;CY503698 CMAI Curncy;55.20 ;#N/A N/A;2.1868 ;34.14 ;55.20 ;40.8345 ;14.3655 ;6.38 
Veolia Environnement SA;CVIVE1E5 CBIN Curncy;85.9017 ;0.1243 ;0.0491 ;59.9372 ;91.0678 ;75.128 ;10.7736 ;(1.1858)
Vinci SA;CVINC1E5 CBIN Curncy;82.5483 ;1.322 ;0.5511 ;53.5416 ;85.1419 ;67.6523 ;14.896 ;(1.2749)
Vivendi SE;CVIVU1E5 CBIN Curncy;156.3358 ;1.0756 ;0.2915 ;120.6796 ;156.3358 ;133.6043 ;22.7315 ;10.1768 
Vodafone Group PLC;CVOD1E5 CBIN Curncy;106.6659 ;2.2808 ;0.9472 ;68.9935 ;106.6659 ;80.4141 ;26.2518 ;19.3436 
Volkswagen AG;CVW1E5 CBIN Curncy;209.978 ;3.5474 ;0.4926 ;164.0302 ;257.8482 ;198.4458 ;11.5323 ;11.6076 
Volvo AB;CVLVY1E5 CBIN Curncy;111.5596 ;3.9063 ;1.0877 ;78.9505 ;132.8971 ;101.2559 ;10.3037 ;(3.6182)
WPP 2005 Ltd;CWPP1E5 CBIN Curncy;171.3213 ;2.0177 ;0.5142 ;128.9832 ;171.9496 ;150.4857 ;20.8357 ;2.0123 
Wendel SE;CMWP1E5 CBIN Curncy;193.5234 ;0.2536 ;0.0488 ;149.9705 ;203.8199 ;170.1197 ;23.4037 ;(2.7462)
Zurich Insurance Co Ltd;CZUR1E5 CBIN Curncy;99.3689 ;0.1819 ;0.0738 ;66.0604 ;99.3689 ;78.6682 ;20.7007 ;15.9124 
